Ключова фраза,Обем,Намерение,Клъстер,Целеви адрес,Тип страница,Статус,Приоритет
монтаж на климатик,170,Транзакционно,Монтаж,/montazh-na-klimatik,Услуга,Публикувана,1
монтаж на климатици,140,Транзакционно,Монтаж,/montazh-na-klimatik,Услуга,Публикувана,1
цена за монтаж на климатик,50,Разузнавателно,Монтаж,/montazh-na-klimatik,Услуга,Публикувана,1
монтиране на климатик,30,Транзакционно,Монтаж,/montazh-na-klimatik,Услуга,Публикувана,1
сервиз на климатици,90,Транзакционно,Сервиз,/serviz-na-klimatici,Услуга,За писане,2
почистване на климатик,70,Транзакционно,Сервиз,/serviz-na-klimatici,Услуга,За писане,2
зареждане с фреон цена,30,Разузнавателно,Сервиз,/serviz-na-klimatici,Услуга,За писане,2
монтаж на климатик София,40,Транзакционно,Локално,/montazh-na-klimatik-sofia,Локална,За писане,3
как работи инверторен климатик,60,Информационно,Образование,/invertoren-klimatik,Статия,Идея,4
колко електричество харчи климатик,40,Информационно,Образование,/razhod-klimatik,Статия,Идея,5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
